No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Keywords,Notes
61,Brewery/Winery,#7C2D12,#FFFFFF,#B91C1C,#FFFFFF,#A16207,#FFFFFF,#FEF2F2,#450A0A,#FFFFFF,#450A0A,#ECEDF0,#000000,#FECACA,#DC2626,#FFFFFF,#7C2D12,alcohol beer brewery craft drink vineyard wine winery,"Deep burgundy + craft gold [Accent adjusted from #CA8A04 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: brewery-winery; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
62,Airline,#1E3A8A,#FFFFFF,#3C83F6,#000000,#C38504,#000000,#FFFFFF,#1E40AF,#FFFFFF,#1E40AF,#E9EEF5,#000000,#BFDBFE,#DC2626,#FFFFFF,#1E3A8A,airplane airport aviation flight,"Sky blue + booking orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
63,News/Media Platform,#DA2323,#FFFFFF,#EF4343,#000000,#027CBA,#FFFFFF,#FEF2F2,#450A0A,#FFFFFF,#450A0A,#F0EDF1,#000000,#E5E5E5,#DC2626,#FFFFFF,#DC2626,article current journalism media press,"Breaking red + link blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: news-media-platform; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
64,Magazine/Blog,#3E3E59,#FFFFFF,#3F3F46,#FFFFFF,#EC4899,#09090B,#FAFAFA,#09090B,#FFFFFF,#09090B,#E8ECF0,#000000,#E4E4E7,#DC2626,#FFFFFF,#3E3E59,blog content editorial magazine media publication writing,"Editorial black + accent pink [High-risk replacement; AA text, component and focus contrast verified] | Scenario: magazine-blog; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
65,Freelancer Platform,#B45309,#FFFFFF,#D97706,#0F172A,#0891B2,#0F172A,#FFFFFF,#78350F,#FFFBEB,#78350F,#F3EFE8,#000000,#E5E5E5,#DC2626,#FFFFFF,#B45309,contractor freelance gig independent remote,"Craft amber + teal CTA [bg neutralized from #FFFBEB; cream moved to Card surface] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: freelancer-platform; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
68,Newsletter Platform,#0369A1,#FFFFFF,#0D9DDD,#000000,#059669,#0F172A,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E7EFF5,#000000,#E5E5E5,#DC2626,#FFFFFF,#0369A1,content email subscription update,"Trust blue + subscribe orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
71,Sports Team/Club,#DA2323,#FFFFFF,#EF4343,#000000,#92400E,#FFFFFF,#FEF2F2,#7F1D1D,#FFFFFF,#7F1D1D,#F0EDF1,#000000,#FECACA,#DC2626,#FFFFFF,#DC2626,athletic exercise fitness gym team workout,"Team red + championship gold [Accent adjusted from #FBBF24 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: sports-team-club; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
72,Museum/Gallery,#3E3E59,#FFFFFF,#27272A,#FFFFFF,#AA8E31,#000000,#FAFAFA,#09090B,#FFFFFF,#09090B,#E8ECF0,#000000,#E4E4E7,#DC2626,#FFFFFF,#3E3E59,art creative culture exhibition gallery heritage museum,"Gallery black + white space [Accent adjusted from #F8FAFC for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: museum-gallery; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
73,Theater/Cinema,#615AC4,#FFFFFF,#615DC5,#FFFFFF,#CA8A04,#0F172A,#0F0F23,#F8FAFC,#1B1B30,#F8FAFC,#31314A,#94A3B8,#4338CA,#EF4343,#000000,#615AC4,cinema film movie performance show stage theater,"Dramatic dark + spotlight gold [High-risk replacement; AA text, component and focus contrast verified] | Scenario: theater-cinema; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
74,Language Learning App,#0B8177,#FFFFFF,#2E9E92,#000000,#BE123C,#FFFFFF,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F1F4,#000000,#99F6E4,#DC2626,#FFFFFF,#0D9488,education educational international learn multilingual school speak study teaching translate,"International teal + highlight yellow; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
75,Coding Bootcamp,#3E5FAD,#FFFFFF,#48638E,#FFFFFF,#16A34A,#0F172A,#020617,#F8FAFC,#0E1223,#F8FAFC,#282E48,#94A3B8,#354358,#EF4343,#000000,#3E5FAD,code developer engineer programming software,"Dark bg + code cyan [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
76,Cybersecurity Platform,#00FF41,#0F172A,#616161,#FFFFFF,#FF3333,#0F172A,#000000,#E0E0E0,#0C130E,#E0E0E0,#2C2C2C,#94A3B8,#404040,#EF4343,#000000,#00FF41,hacking privacy protection security,"Matrix green + alert red [High-risk replacement; AA text, component and focus contrast verified] | Scenario: cybersecurity-platform; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
78,Biotech / Life Sciences,#0A7EB3,#FFFFFF,#027CBA,#FFFFFF,#7C3AED,#FFFFFF,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E8F2F8,#000000,#BAE6FD,#DC2626,#FFFFFF,#0D9DDD,biology lab life research science,"Cyan + lab purple; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: biotech-life-sciences; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
79,Space Tech / Aerospace,#B8D6F5,#0F172A,#94A3B8,#0F172A,#3B82F6,#0F172A,#0B0B10,#F8FAFC,#1E1E23,#F8FAFC,#303037,#94A3B8,#334564,#EF4343,#000000,#B8D6F5,aerospace rocket satellite,"Star white + launch blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: space-tech-aerospace; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
80,Architecture / Interior,#3E4759,#FFFFFF,#404040,#FFFFFF,#A16207,#FFFFFF,#FFFFFF,#171717,#FFFFFF,#171717,#E8ECF0,#000000,#E5E5E5,#DC2626,#FFFFFF,#3E4759,architecture building construction decoration design home interior room,"Minimal black + accent gold [Accent adjusted from #D4AF37 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: home-interior|hospitality|lifestyle; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
81,Quantum Computing Interface,#00FFFF,#0F172A,#6196FF,#0F172A,#D4A017,#0F172A,#050510,#E0E0FF,#101823,#E0E0FF,#2D2D3E,#94A3B8,#404055,#EF4343,#000000,#00FFFF,quantum computing science research simulation algorithm,"Quantum cyan + interference purple [High-risk replacement; AA text, component and focus contrast verified] | Scenario: quantum-computing-interface; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
82,Biohacking / Longevity App,#E30000,#FFFFFF,#E56810,#000000,#059669,#1C1C1E,#F5F5F7,#1C1C1E,#FFFFFF,#1C1C1E,#F2EEF2,#000000,#E5E5EA,#DC2626,#FFFFFF,#FF4D4D,biohacking longevity health optimization wellness science bio,"Bio red/blue + vitality green [Accent adjusted from #00E676 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: biohacking-longevity-app; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
83,Autonomous Drone Fleet Manager,#00FF41,#0F172A,#008F11,#000000,#FF3333,#0F172A,#0D1117,#E6EDF3,#182424,#E6EDF3,#2F343C,#94A3B8,#404851,#EF4343,#000000,#00FF41,drone fleet autonomous aerial management robotics,"Terminal green + alert red [High-risk replacement; AA text, component and focus contrast verified] | Scenario: autonomous-drone-fleet-manager; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
85,Spatial Computing OS / App,#003E7A,#FFFFFF,#3D3D3D,#FFFFFF,#024164,#FFFFFF,#888888,#000000,#999999,#000000,#777777,#050505,#CCCCCC,#800700,#FFFFFF,#003E7A,spatial computing vr ar mixed reality 3d immersive,"Glass white + system blue [Accent adjusted from #007AFF for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: spatial-computing-os-app; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
86,Sustainable Energy / Climate Tech,#04875F,#FFFFFF,#1BA778,#000000,#B28F34,#000000,#FFFFFF,#064E3B,#FFFFFF,#064E3B,#E8F1F3,#000000,#A7F3D0,#DC2626,#FFFFFF,#059669,clean climate eco energy green power solar sustainable,"Nature green + solar gold [Accent adjusted from #FBBF24 for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
87,Personal Finance Tracker,#3B61DD,#FFFFFF,#3C83F6,#000000,#D97706,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#21356B,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#3B61DD,bank banking financial fintech money,"Professional blue + finance amber [High-risk replacement; AA text, component and focus contrast verified] | Scenario: finance|banking|wealth-management; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
88,Chat & Messaging App,#2563EB,#FFFFFF,#6164F1,#FFFFFF,#0D9488,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#000000,#E4ECFC,#DC2626,#FFFFFF,#2563EB,chat messaging communication instant message conversation,"Professional blue + social pink [High-risk replacement; AA text, component and focus contrast verified] | Scenario: chat-messaging-app; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
89,Notes & Writing App,#78675A,#FFFFFF,#97908B,#000000,#D97706,#0F172A,#FFFFFF,#0F172A,#FFFBEB,#0F172A,#F6F6F6,#000000,#EEEDED,#DC2626,#FFFFFF,#78675A,diary journal memo notebook writing,"Warm ink + amber accent on cream [bg neutralized from #FFFBEB; cream moved to Card surface] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: notes-writing-app; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
90,Habit Tracker,#B36204,#FFFFFF,#BA8936,#000000,#6164F1,#FFFFFF,#FFFFFF,#0F172A,#FFFBEB,#0F172A,#FCF6F0,#000000,#FAEEE1,#DC2626,#FFFFFF,#D97706,daily discipline goal routine tracker,"Amber + focus blue [bg neutralized from #FFFBEB; cream moved to Card surface] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
91,Food Delivery / On-Demand,#C64A0A,#FFFFFF,#EF6506,#000000,#2563EB,#FFFFFF,#FFF7ED,#0F172A,#FFFFFF,#0F172A,#FDF4F0,#000000,#FCEAE1,#DC2626,#FFFFFF,#EA580C,cooking courier cuisine dining eat logistics meal recipe restaurant shipping transport,"Appetizing orange + trust blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: food-delivery-on-demand; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
92,Ride Hailing / Transportation,#4F6D9C,#FFFFFF,#566E8F,#FFFFFF,#2563EB,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#243661,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#4F6D9C,ride hailing taxi cab transportation sharing uber,"Map dark + route blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
93,Recipe & Cooking App,#9A3412,#FFFFFF,#C2410C,#FFFFFF,#0891B2,#0F172A,#FFFBEB,#0F172A,#FFFFFF,#0F172A,#F8F2F0,#000000,#F2E6E2,#DC2626,#FFFFFF,#9A3412,chef cooking cuisine food kitchen meal recipe,"Warm brown + fresh teal [High-risk replacement; AA text, component and focus contrast verified] | Scenario: recipe-cooking-app; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
94,Meditation & Mindfulness,#155E75,#FFFFFF,#0891B2,#0F172A,#D97706,#0F172A,#FFFFFF,#164E63,#FFFFFF,#164E63,#E7F0F4,#000000,#A5F3FC,#DC2626,#FFFFFF,#155E75,calm mindfulness peaceful relax zen,"Deep ocean + warm amber glow; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: meditation-mindfulness; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
95,Weather App,#027CBA,#FFFFFF,#0D9DDD,#000000,#8655F6,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#EFF7FB,#000000,#E0F0F8,#DC2626,#FFFFFF,#027CBA,weather forecast climate temperature rain sun,"Sky blue + sun amber; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
96,Diary & Journal App,#92400E,#FFFFFF,#A16207,#FFFFFF,#027CBA,#FFFFFF,#FFFBEB,#0F172A,#FFFFFF,#0F172A,#F8F3F0,#000000,#F1E8E2,#DC2626,#FFFFFF,#92400E,daily diary journal notes personal writing,"Warm journal brown + ink violet [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
98,Inventory & Stock Management,#334155,#FFFFFF,#475569,#FFFFFF,#2563EB,#FFFFFF,#F5F5F5,#0F172A,#FFFFFF,#0F172A,#EBEBEB,#000000,#E0E0E0,#DC2626,#FFFFFF,#334155,management stock supply warehouse,"Industrial slate + stock amber [High-risk replacement; AA text, component and focus contrast verified] | Scenario: inventory-stock-management; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
100,Booking & Appointment App,#0369A1,#FFFFFF,#0D9DDD,#000000,#15803D,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#EFF7FB,#000000,#E0F0F8,#DC2626,#FFFFFF,#0369A1,appointment reservation schedule,"Blue + green accent [Primary/Accent darkened for WCAG]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: booking-appointment-app; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
101,Invoice & Billing Tool,#1E3A5F,#FFFFFF,#2563EB,#FFFFFF,#D97706,#0F172A,#FAFAF9,#0F172A,#FFFFFF,#0F172A,#F2F0EC,#000000,#E3E2DE,#DC2626,#FFFFFF,#1E3A5F,billing charge payment receipt,"Dark blue + invoice amber [High-risk replacement; AA text, component and focus contrast verified] | Scenario: invoice-billing-tool; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
102,Grocery & Shopping List,#04875F,#FFFFFF,#1BA778,#000000,#1E40AF,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F0F8F6,#000000,#E1F2ED,#DC2626,#FFFFFF,#059669,buy ecommerce food list mall market retail shop shopping store supermarket,"Fresh green + food amber; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
103,Timer & Pomodoro,#DC2626,#FFFFFF,#EF4343,#000000,#2563EB,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#403154,#94A3B8,#3D4A6A,#DC3D28,#000000,#DC2626,clock countdown focus pomodoro productivity,"Energy red + focus blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: timer-pomodoro; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
104,Parenting & Baby Tracker,#D71676,#FFFFFF,#F14BA2,#000000,#027CBA,#FFFFFF,#FDF2F8,#0F172A,#FFFFFF,#0F172A,#FDF4F8,#000000,#FCE9F2,#DC2626,#FFFFFF,#EC4899,baby child family infant newborn parent parenting toddler,"Soft pink + trust blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
105,Scanner & Document Manager,#2D3E59,#FFFFFF,#334155,#FFFFFF,#2563EB,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F2F3,#000000,#E4E5E7,#DC2626,#FFFFFF,#2D3E59,document ocr paperless scan,"Document grey + scan blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: scanner-document-manager; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
107,Password Manager,#386DB2,#FFFFFF,#566E8F,#FFFFFF,#027CBA,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#223663,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#386DB2,access credential login safe security,"Dark blue + security teal [High-risk replacement; AA text, component and focus contrast verified] | Scenario: password-manager; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
108,Expense Splitter / Bill Split,#04845D,#FFFFFF,#1AA275,#000000,#DC2626,#FFFFFF,#FAFAF9,#0F172A,#FFFFFF,#0F172A,#F2F0EC,#000000,#E3E2DE,#DC3D28,#000000,#059669,bill money payment share split splitter,"Balance green + owe red [High-risk replacement; AA text, component and focus contrast verified] | Scenario: expense-splitter-bill-split; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
109,Voice Recorder & Memo,#DC2626,#FFFFFF,#EF4343,#000000,#2563EB,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#FCF1F1,#000000,#FAE4E4,#DC3D28,#000000,#DC2626,audio recording sound speech,"Recording red + waveform blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: voice-recorder-memo; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
110,Bookmark & Read-Later,#AF6004,#FFFFFF,#BA8936,#000000,#2563EB,#FFFFFF,#FFFBEB,#0F172A,#FFFFFF,#0F172A,#FCF6F0,#000000,#FAEEE1,#DC2626,#FFFFFF,#D97706,article link read-later save,"Warm amber + link blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: bookmark-read-later; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
112,Calculator & Unit Converter,#EA580C,#0F172A,#F97315,#000000,#0891B2,#0F172A,#1C1917,#FFFFFF,#262321,#FFFFFF,#4C3426,#D1D5DB,#504B47,#DC2626,#FFFFFF,#EA580C,compute converter math,"Operation orange on dark [High-risk replacement; AA text, component and focus contrast verified] | Scenario: calculator-unit-converter; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
